movie_freebase_id,movie_name,movie_release_year,movie_languages_count,movie_genres,ethnicity_diversity,actors_count,rating_average,rating_count,movie_box_office_revenue
/m/031hcx,Harry Potter and the Order of the Phoenix,2007.0,22,"['Mystery', 'Family Film', 'Fantasy Adventure', 'Fantasy', 'Adventure']",0.7448979591836735,28,7.685,18416,7.2633773662753764
/m/02qr3k8,Terror in the Aisles,1984.0,22,"['Thriller', 'Horror', 'Documentary']",0.850480109739369,27,6.1,37,-0.4251366765867089
/m/031786,Harry Potter and the Goblet of Fire,2005.0,32,"['Thriller', 'Science Fiction', 'Fantasy Adventure', 'Adventure', 'Supernatural', ""Children's/Family"", 'Mystery', 'Fantasy', ""Children's Fantasy"", 'Family Film']",0.7936,25,7.815,19551,6.908049420434269
/m/03l6q0,Scary Movie 3,2003.0,22,"['Parody', 'Horror', 'Absurdism', 'Gross-out film', 'Horror Comedy', 'Comedy', 'Gross out', 'Teen', 'Slapstick']",0.7604166666666667,24,5.977,3815,1.316727881027068
/m/011ywj,Gosford Park,2001.0,22,"['Thriller', 'Ensemble Film', 'LGBT', 'Comedy of manners', 'Comedy-drama', 'Mystery', 'Period piece', 'Drama', 'Comedy', 'Crime Fiction', 'Crime Thriller', 'Whodunit']",0.54820415879017,23,6.853,997,0.21771542127499274
/m/02ryz24,Tropic Thunder,2008.0,31,"['Parody', 'Adventure', 'Action Comedy', 'Action/Adventure', 'Satire', 'Comedy', 'Action']",0.8960302457466919,23,6.648,5684,1.0471773743669435
/m/03bx2lk,G-Force,2009.0,22,"['Adventure', ""Children's/Family"", 'Animal Picture', ""Children's"", 'Comedy', 'Family Film']",0.8922495274102079,23,5.442,1757,1.9131804127169778
/m/03177r,Harry Potter and the Prisoner of Azkaban,2004.0,22,"['Fantasy Adventure', 'Adventure', ""Children's/Family"", 'Mystery', 'Fantasy', ""Children's Fantasy"", 'Family Film']",0.6843100189035917,23,8.019,20324,6.07938185026466
/m/0cxtwr,Dasavatharam,2007.0,21,"['Action/Adventure', 'Disaster', 'Science Fiction', 'Tamil cinema', 'World cinema']",0.555765595463138,23,6.6,50,
/m/0c696l,Farce of the Penguins,2006.0,22,"['Parody', 'Mockumentary', 'Adventure Comedy', 'Comedy']",0.8208616780045352,21,3.8,41,
/m/03hxsv,Harry Potter and the Half-Blood Prince,2009.0,29,"['Fantasy Adventure', 'Adventure', ""Children's/Family"", 'Mystery', 'Fantasy', ""Children's Fantasy"", 'Family Film', 'Action', 'Romance Film']",0.6394557823129252,21,7.695,18357,7.218154508126152
/m/02z3r8t,"New York, I Love You",2008.0,40,"['Ensemble Film', 'Slice of life story', 'Comedy-drama', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']",0.8843537414965986,21,5.914,493,-0.4413024054368029
/m/01_0f7,Kingdom of Heaven,2005.0,32,"['Adventure', 'Costume drama', 'Historical fiction', 'Epic', 'Action/Adventure', 'Period piece', 'Drama', 'War film', 'Historical Epic', 'Action', 'Historical drama']",0.865,20,6.917,3877,1.242138387188645
/m/03176f,Harry Potter and the Philosopher's Stone,2001.0,22,"['Fantasy Adventure', 'Adventure', ""Children's/Family"", 'School story', 'Fantasy', ""Children's Fantasy"", 'Family Film']",0.6649999999999999,20,7.915,25753,7.55168755025916
/m/020bv3,Love Actually,2003.0,39,"['Romantic comedy', 'Ensemble Film', 'Comedy-drama', 'Holiday Film', 'Drama', 'Comedy', 'Romance Film']",0.8698060941828255,19,7.112,6160,1.5339255798326066
/m/0cmdm1,Get on the Bus,1996.0,22,"['Road movie', 'Ensemble Film', 'Drama', 'Indie', 'Political drama']",0.19390581717451527,19,6.7,56,
/m/03kx49,The Muppet Movie,1979.0,22,"['Adventure', ""Children's/Family"", 'Road movie', 'Musical comedy', 'Musical', ""Children's"", 'Drama', 'Comedy', 'Music', 'Family Film', 'Family-Oriented Adventure']",0.6049382716049383,18,7.1,537,0.1259619943828693
/m/050f0s,The Simpsons Movie,2007.0,22,"['Parody', 'Adventure', 'Animation', 'Satire', 'Comedy', 'Domestic Comedy']",0.5123456790123456,18,6.999,7518,3.8501096177287155
/m/09lxv9,Mars Attacks!,1996.0,29,"['Thriller', 'Parody', 'Science Fiction', 'Ensemble Film', 'Alien Film', 'Fantasy', 'Comedy', 'Action']",0.8395061728395061,18,6.398,5076,0.33029590878251014
/m/05pdh86,New Moon,2009.0,22,"['Thriller', 'Horror', 'Adventure', 'Fantasy', 'Film adaptation', 'Drama', 'Romantic drama', 'Romance Film', 'Teen']",0.9135802469135803,18,6.0,1,5.3611903755057195
/m/084qpk,Grindhouse,2007.0,27,"['Thriller', 'Horror', 'Creature Film', 'Zombie Film', 'Action', 'Slasher']",0.8927335640138409,17,6.988,1551,-0.2976624187956652
/m/070rc_,Pauly Shore Is Dead,2004.0,22,"['Parody', 'Black comedy', 'Comedy', 'Media Satire']",0.8304498269896193,17,4.3,72,
/m/02q_76b,First Sunday,2008.0,22,"['Crime Fiction', 'Heist', 'Crime Comedy', 'Action/Adventure', 'Drama', 'Comedy', 'Action', 'Religious Film']",0.0,17,5.6,217,-0.1886307251239353
/m/05sy_5,Crash,2004.0,40,"['Crime Fiction', 'Drama', 'Indie']",0.7889273356401384,17,7.228,3236,0.30582231503613544
/m/0prrm,Jay and Silent Bob Strike Back,2001.0,22,"['Road movie', 'Stoner film', 'Buddy film', 'Comedy']",0.8788927335640139,17,6.43,1431,-0.22848941494169592
/m/019vhk,Gangs of New York,2002.0,31,"['Crime Fiction', 'Gangster Film', 'Costume drama', 'Historical fiction', 'Epic', 'Period piece', 'Drama', 'Political drama', 'Historical drama']",0.7889273356401384,17,7.319,6174,1.094305350883771
/m/08q6ms,A Cock and Bull Story,2006.0,22,"['Mockumentary', 'Comedy', 'Indie']",0.671280276816609,17,6.3,120,-0.47534855483107996
/m/06_wqk4,Valentine's Day,2010.0,22,"['Romantic comedy', 'Romance Film', 'Comedy']",0.9204152249134948,17,5.908,2909,1.282103952747009
/m/05qbckf,Iron Man 2,2010.0,28,"['Action/Adventure', 'Thriller', 'Science Fiction', 'Action', 'Superhero movie']",0.8650519031141868,17,6.836,19965,4.650993960210711
/m/04qw17,Vera Drake,2004.0,22,"['Social problem film', 'Period piece', 'Drama']",0.4609375,16,7.156,327,-0.4008527488324198
/m/09xbpt,Ocean's Thirteen,2007.0,29,"['Thriller', 'Crime Fiction', 'Ensemble Film', 'Caper story', 'Master Criminal Films', 'Comedy']",0.90625,16,6.722,5939,2.0661595498318346
/m/07bz6l,The Proud Family Movie,2005.0,22,"['Television movie', ""Children's/Family"", 'Animation', ""Children's"", 'Fantasy', 'Comedy', 'Animated cartoon', 'Family-Oriented Adventure']",0.421875,16,5.8,71,
/m/0fphf3v,New Year's Eve,2011.0,22,"['Romantic comedy', 'Comedy']",0.90625,16,5.884,2016,0.6666050577862076
/m/01r6s5,Mystery Men,1999.0,22,"['Parody', 'Indie', 'Superhero movie', 'Action/Adventure', 'Fantasy', 'Comedy', 'Action']",0.875,16,5.823,761,-0.23119438156233452
/m/05vxdh,Bridget Jones's Diary,2001.0,22,"['Romantic comedy', 'Comedy of manners', 'Drama', 'Comedy', 'Film adaptation', 'Romance Film']",0.7022222222222223,15,6.748,4702,1.823214198571151
/m/04gv3db,Night at the Museum: Battle of the Smithsonian,2009.0,22,"['Fantasy Adventure', 'Adventure', 'Action/Adventure', 'Fantasy', 'Comedy', 'Adventure Comedy', 'Family Film', 'Action']",0.8177777777777777,15,6.133,6490,2.9078167227691507
/m/02cbhg,Cold Mountain,2003.0,22,"['Anti-war', 'Period piece', 'Drama', 'War film', 'Romance Film', 'Anti-war film']",0.8888888888888888,15,6.918,1626,0.9226642426673436
/m/016f62,Jungle Fever,1991.0,22,"['Romantic drama', 'Romance Film', 'Drama', 'Social issues']",0.6044444444444445,15,6.4,264,
/m/0473rc,Bedazzled,2000.0,31,"['Romantic comedy', 'Black comedy', 'Romance Film', 'Fantasy', 'Comedy']",0.6044444444444446,15,6.047,1726,0.23945407589881895
/m/034qmv,Around the World in 80 Days,2004.0,44,"['Adventure', 'Martial Arts Film', 'Action/Adventure', 'Western', ""Children's"", 'Drama', 'Comedy', 'Film adaptation', 'Family Film', 'Action', 'Romance Film', 'Steampunk']",0.8444444444444444,15,5.913,2323,0.08893578454421744
/m/0h2zvzr,Midnight's Children,2012.0,33,['Drama'],0.7377777777777778,15,5.7,47,
/m/065zlr,Nutty Professor II: The Klumps,2000.0,22,"['Romantic comedy', 'Romance Film', 'Science Fiction', 'Comedy', 'Slapstick']",0.12444444444444436,15,4.977,1213,0.8674849162609252
/m/03nfnx,Shrek the Third,2007.0,22,"['Adventure', ""Children's/Family"", 'Fairy tale', 'Animation', 'Fantasy', ""Children's Fantasy"", 'Family Film', 'Fantasy Comedy', 'Comedy']",0.8533333333333333,15,6.288,8442,6.09814763784457
