,freebaseID.value,sLabel.value
0,/m/0790v,Slavs
1,/m/03kbr,Hindu
2,/m/01km_m,Slovenes
3,/m/013y54,Han Chinese people
4,/m/02vsw1,European Americans
5,/m/012f86,Ukrainians
6,/m/02gx2x,Javanese
7,/m/03x1x,Haudenosaunee
8,/m/01g3rx,Aymara
9,/m/064b9n,Omaha people
10,/m/03ts0c,French
11,/m/025_0f0,Swiss
12,/m/04hqxn,Transylvanian Saxons
13,/m/0j6x8,Indigenous Australians
14,/m/01qhm_,German Americans
15,/m/0470lk,Bosnians
16,/m/01ywdy,Estonians
17,/m/03fk0c,Icelanders
18,/m/0301y_,Yoruba people
19,/m/01gr8h,Sherpa
20,/m/02w7gg,English people
21,/m/03hf_6z,Gibraltarian people
22,/m/021pd,Choctaw
23,/m/031_sd,rajput
24,/m/0222qb,Italians
25,/m/02czfr,Black Canadians
26,/m/01nft3,Assyrian people
27,/m/05l3g_,Dutch
28,/m/01swvz,Anglo-Celtic Australians
29,/m/05g0f1,Akan people
30,/m/09m6hr,Telugu people
31,/m/0g6ff,Russians
32,/m/01rv7x,Tamil
33,/m/0ftwg,Buryats
34,/m/039z49,Dinka people
35,/m/09kr66,Russian Americans
36,/m/0165md,Ryukyuan people
37,/m/0fk1z,Hispanic
38,/m/01h4n,Basque people
39,/m/01c034,Lao people
40,/m/03lmx1,Scottish people
41,/m/029q52,Georgians
42,/m/0222hg,Jaat
43,/m/09cqth,Romanichal
44,/m/04czx7,Chinese Filipino
45,/m/027vy0s,White Latin American
46,/m/08gzsf,Konkani people
47,/m/046cwm,Nair
48,/m/0268d21,Serbian Americans
49,/m/03ndvw,Vietnamese people
50,/m/0bvnws,Kabyle people
51,/m/048z7l,American Jews
52,/m/0bzkm2,Taiwanese
53,/m/033qxt,Mizrahi Jews
54,/m/0d32d1,Chinese Jamaicans
55,/m/04l_pt,Thai Chinese people
56,/m/0ffhvl,Turkish Americans
57,/m/067lv3,Dutch Canadians
58,/m/01tyl3,Vietnamese Americans
59,/m/052r3t,Bhutia
60,/m/02ctzb,white people
61,/m/06bkf,Quebeckers
62,/m/019kn7,Japanese people
63,/m/0fp4n,Tatars
64,/m/01p7s6,Poles
65,/m/0432mrk,Indigenous peoples of the Americas
66,/m/025x6k1,Serbs in North Macedonia
67,/m/032j30,Native Hawaiians
68,/m/0bbz66j,Australians
69,/m/03q819,Yugoslavs
70,/m/01g0y_,Ojibwe
71,/m/0br_8h,Galicians
72,/m/0d7wh,British people
73,/m/041rx,Jewish people
74,/m/0268_k,Danes
75,/m/04hlx1,Greek Cypriots
76,/m/01j2qv,Korean American
77,/m/0ffj5g,Austrian Americans
78,/m/01trsl,First Nations
79,/m/0bkbz,names of the Greeks
80,/m/01hm_,Bohemian
81,/m/04_hr_,Chinese Singaporeans
82,/m/0g5rkt4,Corsicans
83,/m/0h2138,Czech Americans
84,/m/01g7zj,Mexican Americans
85,/m/0665pp,Rohilla
86,/m/01gby2,Zhuang people
87,/m/02sch9,Punjabis
88,/m/09vc4s,English Americans
89,/m/01kb9y,multiracial people
90,/m/0j4w_,Croats
91,/m/0xff,Arabs
92,/m/065b6q,Swedish Americans
93,/m/097r55,Manx people
94,/m/013s3n,Czechs
95,/m/0dv5vw,Pacific Islander Americans
96,/m/08yg47,Bengali Brahmins
97,/m/05vhv7,Mudaliar
98,/m/062_25,Italian Brazilians
99,/m/051x6yk,Arabs in Bulgaria
100,/m/038723,Greek American
101,/m/0cn68,Japanese Americans
102,/m/022dp5,Polish Americans
103,/m/0c41n,Acadians
104,/m/07wsyr,Thai people
105,/m/03f3sf,Romanian Americans
106,/m/0f0gt_,Asian people
107,/m/03w9bjf,British Indian
108,/m/0266mf0,Palestinian American
109,/m/0d8qh0,Indonesian Americans
110,/m/02r_qms,Brazilians
