,movie_name,movie_release_year,movie_languages_count,movie_box_office_revenue,vote_average,vote_counts,budget,diverse,Propensity_score
29442,"Goodbye, Mr. Chips",-1.3573283128763478,22,-0.07665484104944809,7.4,103,-0.17488030454522221,1,0.054971987478106436
25141,Giant,0.9403434393281138,27,1.1540422898732163,7.628,630,0.9045953382489534,1,0.06466349663989664
28787,National Velvet,-0.5463853415100672,22,0.12631637532673531,7.263,97,0.37885071962882716,1,0.049884192385251803
10526,Deep in My Heart,0.6700291155393536,22,-0.04378249737354978,6.0,2,-0.17488030454522221,1,0.01677538766807971
25080,The Man in the Gray Flannel Suit,0.9403434393281138,22,-0.034091358318155233,6.8,46,-0.17488030454522221,1,0.03317860778035401
47155,The Last Time I Saw Paris,0.6700291155393536,22,-0.09611464827268033,6.067,45,0.2169293732097008,1,0.018236605943726503
70793,Kansas Raiders,0.12940046796183327,22,-0.15619971041612654,6.0,17,-0.17488030454522221,0,0.01691006901126921
43040,Samson and Delilah,-0.005756693932546834,22,0.22369294055533975,6.146,49,-0.17488030454522221,1,0.018658570953113934
43763,Wuthering Heights,-1.3573283128763478,22,-0.1785031691901051,7.196,240,-0.17488030454522221,1,0.046735025160715794
29490,Somebody Up There Likes Me,0.9403434393281138,22,-0.125188065438864,7.2,140,0.20893325733715135,1,0.047716468316887625
28687,Little Women,-2.1682712842426284,28,-0.125188065438864,7.287,1120,3.4233718381020295,1,0.06112172989637791
45555,Helen of Troy,0.9403434393281138,22,-0.07867059797297016,6.3,35,-0.17488030454522221,1,0.02175148817938894
28609,Richard III,0.8051862774337337,22,-0.10192933170591707,6.719,155,-0.17488030454522221,1,0.03112794825808261
6828,Camille,-1.762799798559488,22,-0.09254830910029514,6.973,111,-0.17488030454522221,1,0.038545480681321534
32703,Death of a Salesman,0.26455762985621334,22,-0.15619971041612654,8.0,1,-0.17488030454522221,1,0.08997030220191983
73203,Red River,-0.14091385582692692,27,0.1466290027868423,7.384,467,0.42482838589598654,0,0.05520621082848273
31135,The Wizard of Oz,-1.3573283128763478,22,-0.08576451176151896,7.574,5159,0.3802500399065233,0,0.06540483388387837
69258,Island in the Sky,0.5348719536449735,22,-0.09611464827268033,7.3,3,-0.17488030454522221,0,0.050669993189016396
42302,Young Bess,0.5348719536449735,22,-0.04397632015465767,6.0,15,-0.17488030454522221,0,0.016775618967492693
10437,Bend of the River,0.39971479175059343,22,-0.0864235092172858,6.797,155,-0.17488030454522221,0,0.03321593662693805
52067,Easy to Love,0.5348719536449735,22,-0.016647308018445047,6.1,4,-0.17488030454522221,0,0.018245042312100113
3818,Torch Song,0.5348719536449735,22,-0.15619971041612654,6.0,19,-0.17488030454522221,1,0.01691006901126921
30250,Diplomatic Courier,0.39971479175059343,22,-0.1484467991718109,6.118,17,-0.17488030454522221,0,0.018703326216611922
27201,The President's Lady,0.5348719536449735,22,-0.1503850269828898,7.2,11,-0.17488030454522221,0,0.04680025640349843
54081,The Band Wagon,0.5348719536449735,22,0.018240792580975326,7.2,191,0.40483809621461286,0,0.04775920444983752
27142,East of Eden,0.8051862774337337,22,-0.008894396774129407,7.574,676,-0.17488030454522221,0,0.06314183959100977
73150,Back to Bataan,-0.5463853415100672,22,-0.10619343289029066,6.298,52,-0.17488030454522221,0,0.021756648711265265
62605,The Marrying Kind,0.39971479175059343,22,-0.13681743230533744,6.717,22,-0.17488030454522221,0,0.031151341365213022
25879,Little Lord Fauntleroy,-3.7901572269751895,29,-0.1678290772826,6.969,49,-0.17488030454522221,0,0.03861777555792667
35027,Every Night at Eight,-1.8979569604538682,22,-0.1830590124246023,8.0,1,-0.17488030454522221,0,0.09012953663130785
32742,Alice Doesn't Live Here Anymore,0.4423795940118373,22,-0.23350928068655794,6.976,401,-0.2626681475819827,1,0.07014054277356448
52296,The Trip,-0.47860092139632227,22,-0.4189751581285808,6.7,260,-0.5213147466114195,1,0.07472239698290678
23685,South Pacific,-1.662718726921099,29,0.15898827390004863,5.0,6,-0.5213147466114195,1,0.14075102265433945
51028,Murder by Death,0.7055168841284544,22,0.06649357256835138,7.197,730,-0.5213147466114195,1,0.08495672738926531
7050,The Wanderers,1.1002228193033798,22,-0.5268041566413848,6.994,172,-0.5213147466114195,1,0.06643460905243061
51726,Starting Over,1.1002228193033798,22,0.18918039348363375,6.375,44,-0.5213147466114195,1,0.1073786465519871
45490,War and Peace,-0.34703227633801376,32,-0.4998469070131838,6.647,214,0.3408405834867033,1,0.05295977383764107
52390,Journey to the Center of the Earth,-1.5311500818627903,38,-0.5268041566413848,7.0,416,-0.02701235735516243,1,0.05532839144581384
33089,The Poseidon Adventure,0.17924230389522028,30,1.3774559570947338,7.095,794,0.1971480284703495,1,0.12563068316474468
24294,Prom Night,1.2317914643616883,22,-0.3155404932263694,5.04,669,-0.5213147466114195,1,0.1120891996239653
28144,The Awakening,1.2317914643616883,22,-0.453154535287573,5.5,2,-0.5213147466114195,1,0.0952619341916144
508,Love Story,-0.08389498622139675,22,2.3068812381147414,6.4,6,-0.5213147466114195,1,0.26829894973536833
47703,Oliver!,-0.34703227633801376,22,1.0346217866297613,6.97,384,0.9156108035521187,1,0.08525147594833307
40231,The Cheap Detective,0.9686541742450714,28,-0.026012817426784657,6.4,74,-0.5213147466114195,1,0.09642797053007274
10269,The End,0.9686541742450714,22,0.3340411265214897,5.382,51,-0.09023708156235812,1,0.121823871532876
10446,Close Encounters of the Third Kind,0.8370855291867628,37,6.648137404400593,7.359,3869,2.352536353715657,0,0.48576814648331335
28278,Heaven Can Wait,0.9686541742450714,22,1.1260047278551921,6.565,355,1.6340735786338878,1,0.07515505499845798
25035,Superman,0.9686541742450714,22,5.839808488133603,6.9,84,-0.5141301188606019,1,0.6780985980638149
9747,The Blue Bird,0.7055168841284544,28,-0.6155042908180174,6.0,2,-0.5213147466114195,1,0.07907460124925808
37821,The Yellow Rolls-Royce,-0.8733068565712478,22,-0.5181778367603604,6.3,35,0.03908621795236032,1,0.06335594747836858
39736,Carrie,0.7055168841284544,22,0.09429087479236622,6.455,33,-0.5213147466114195,1,0.10093328279621626
34992,The Birds,-1.0048755016295563,22,-0.38870693283784535,7.523,3740,-0.162083359070535,1,0.05545337699427576
24550,Rocky,0.7055168841284544,22,4.217671777921991,7.788,7225,-0.3776221915950657,1,0.4070218749868204
50208,The Rocky Horror Picture Show,0.5739482390701458,22,3.139381792793951,7.472,2599,-0.348883680591795,1,0.2924716841058642
9495,Live and Let Die,0.3108109489535288,29,2.8547132367201487,6.487,1849,0.4845331385030571,1,0.2446421073740955
60399,On Her Majesty's Secret Service,-0.21546363127970528,28,1.1337624204557968,6.587,1695,0.3408405834867033,1,0.11864459137389073
44824,Death on the Nile,0.9686541742450714,32,-0.32063329995772855,7.132,706,0.6167302891181027,1,0.04691191380770802
6477,Coming Home,0.9686541742450714,22,0.06957441958225981,7.009,170,-0.09023708156235812,1,0.07589924229990848
41418,Bloodline,1.1002228193033798,22,-0.45739042496775084,4.7,32,-0.5213147466114195,1,0.11261193408381688
15769,Sisters,0.3108109489535288,22,-0.613067355451628,6.7,335,-0.4494684691032426,1,0.0661675838352672
2965,The Jazz Singer,1.2317914643616883,22,-0.04981179882014503,5.828,58,-0.5213147466114195,1,0.10764049553141117
50851,Goldfinger,-0.8733068565712478,29,2.058935227695655,7.347,3287,-0.162083359070535,1,0.1826345209163151
25131,The Omen,0.7055168841284544,30,0.6792196288089287,7.394,1843,-0.11897559256562887,1,0.09478677659937701
39890,Foxes,1.2317914643616883,22,-0.4750462373552389,5.9,80,-0.5213147466114195,1,0.08650636181038127
67650,The Rose,1.1002228193033798,22,-0.0054585399934727686,6.654,107,0.8078413872898533,0,0.056971074423372195
35447,Piranha,0.9686541742450714,22,-0.505238356938824,5.899,584,-0.42647766030062606,1,0.08242156568070103
11301,Candy,-0.34703227633801376,22,-0.2807753458158563,5.422,51,-0.09023708156235812,1,0.09029777592523422
54270,Pretty Baby,0.9686541742450714,22,-0.5098455018608815,6.957,288,-0.5213147466114195,1,0.06754147961934728
37108,Orca,0.8370855291867628,22,-0.3172308637386555,6.142,359,1.9933049661747722,1,0.03508459389262361
48933,Lost Horizon,0.3108109489535288,22,-0.5699357560465064,7.064,187,0.053455473453995705,1,0.051810615862673416
19700,The Last Detail,0.3108109489535288,22,-0.4189751581285808,7.024,313,-0.19082187007380577,1,0.061682035724242634
74247,Loving You,-1.7942873719794075,22,-0.5548396962547139,0.0,0,-0.5213147466114195,1,0.2677675447532583
39109,Dracula,1.1002228193033798,22,-0.1998888459242567,5.625,40,-0.5213147466114195,1,0.10465534858086219
29026,The Great Gatsby,0.4423795940118373,22,-0.06242347848620259,0.0,0,-0.5213147466114195,1,0.32181334463818323
32516,Valley of the Dolls,-0.47860092139632227,22,0.3235839565089168,5.9,103,0.1971480284703495,1,0.0983638173837884
12915,Big Jake,0.04767365883691176,22,-0.4728896573849828,6.869,195,-0.5213147466114195,0,0.07012643854620923
33324,Midnight Cowboy,-0.21546363127970528,29,0.33119232751238087,7.517,1228,-0.004021548552545821,0,0.0748350998689361
31315,Americathon,1.1002228193033798,22,-0.501534150484513,3.5,8,-0.5213147466114195,0,0.14132747813213026
67106,Bonnie and Clyde,-0.47860092139632227,22,0.45875288976564377,7.48,1456,-0.162083359070535,0,0.08497197311243998
32822,Pal Joey,-1.7942873719794075,22,-0.49014229714703145,6.358,67,-0.09023708156235812,0,0.06649529612052965
53462,La Luna,1.1002228193033798,29,0.8362448099586106,7.841,743,-0.5213147466114195,0,0.10701023346640275
29090,Anatomy of a Murder,-1.5311500818627903,22,-0.39740935842602,7.84,867,-0.23392963657871194,0,0.052823716480706405
31649,Some Like It Hot,-1.5311500818627903,22,-0.0954881625901688,8.1,3185,-0.10692725921261764,0,0.05531227911860777
8162,Love At First Bite,1.1002228193033798,22,0.3121054517882303,5.9,83,-0.5213147466114195,0,0.12558287211853303
2460,Kramer vs. Kramer,1.1002228193033798,22,1.6569487212399219,7.556,2035,0.628225693519411,0,0.11207093412848215
51770,Grand Theft Auto,0.8370855291867628,22,-0.5807186558977868,5.217,46,-0.5213147466114195,0,0.09520500540674527
66132,Four Girls in Town,-1.7942873719794075,22,-0.613067355451628,0.0,0,-0.5213147466114195,0,0.26177062775750126
74689,The Champ,1.1002228193033798,22,0.021867269151644993,7.0,43,-0.4701601970255976,0,0.0851826324588794
13086,Where Were You When the Lights Went Out?,-0.34703227633801376,22,-0.4623655471301331,5.4,9,-0.5213147466114195,0,0.09688953687188023
27170,The Getaway,0.17924230389522028,27,0.1575782803496955,5.689,299,-0.5213147466114195,0,0.12211837214823375
26439,The Exorcist,0.3108109489535288,44,8.877415922677802,7.725,7413,1.2029959135848263,1,0.8154357625412577
45946,Made in U.S.A.,-0.6101695664546308,24,-0.6325798969303077,6.2,10,-0.5213147466114195,0,0.0750731221950694
48782,The Sound of Music,-0.7417382115129393,22,5.537806808733263,7.703,3008,0.6569642045226818,0,0.4843981490752293
46671,A Funny Thing Happened on the Way to the Forum,-0.6101695664546308,22,-0.5699357560465064,6.1,90,-0.5213147466114195,0,0.07911059973112138
13546,Rosemary's Baby,-0.34703227633801376,22,0.0855659129435024,7.817,3578,-0.06149857055908735,0,0.06338736597479366
38514,Fireball 500,-0.6101695664546308,22,-0.5915015557490672,4.9,16,-0.5213147466114195,0,0.10133115306023865
24884,The Warriors,1.1002228193033798,22,-0.14961747877740803,7.7,1944,0.053455473453995705,0,0.05547395896467535
34169,The Godfather,0.17924230389522028,33,5.155784064983386,8.71,18926,0.3408405834867033,0,0.4064392605515516
8356,Rocky II,1.1002228193033798,22,3.68245521143179,7.261,4021,0.4845331385030571,0,0.294789536701444
34185,Cleopatra,-1.0048755016295563,22,0.6113908324528351,3.2,17,-0.5213147466114195,0,0.24147036872618066
45193,Mary Poppins,-0.8733068565712478,22,1.5709599903624931,7.571,4374,0.3408405834867033,0,0.1185337148421117
8799,Sweet Charity,-0.21546363127970528,22,-0.4621067575337024,6.8,66,0.628225693519411,0,0.046869691979576286
74216,Jailhouse Rock,-1.7942873719794075,22,-0.5483699563439456,6.1,151,-0.3776221915950657,0,0.07590818485427898
73433,"Aloha, Bobby and Rose",0.5739482390701458,2,0.12016983443543919,6.0,12,-0.5126931933104383,0,0.11213377329103233
