,movie_freebase_id,movie_name,movie_release_year,movie_languages_count,movie_genres,gender_diversity,actors_count,rating_average,rating_count,movie_box_office_revenue,treatment,Propensity_score
4457,/m/07tff3,The Drowning Pool,1975.0,29,"['Thriller', 'Crime Thriller', 'Film adaptation', 'Drama', 'Mystery']",0.4970414201183432,13,6.4,104,,1,0.44856297942719303
967,/m/02rlk96,Valley of the Dolls,1967.0,22,"['Cult', 'Music', 'Romance Film', 'Drama', 'Film adaptation']",0.4938271604938271,18,5.9,103,1.095584886919701,1,0.4331925495857912
23281,/m/09_7vn,Love,2005.0,22,"['Thriller', 'Crime Fiction', 'Action/Adventure', 'Drama', 'Crime Thriller', 'Action']",0.375,4,5.4,170,,0,0.5276954237363212
13428,/m/02rd9y5,"4 Months, 3 Weeks and 2 Days",2007.0,23,"['Drama', 'Slice of life story', 'World cinema']",0.5,8,7.539,667,-0.3626093610811463,1,0.5320482521176592
4231,/m/014knw,Stalag 17,1953.0,22,"['Ensemble Film', 'Comedy-drama', 'Black-and-white', 'Drama', 'Comedy', 'War film']",0.0,13,7.702,540,-0.6383120129920353,0,0.3992145723926973
20108,/m/0555tv,Perfect Strangers,2004.0,22,"['Thriller', 'Action/Adventure', 'Action', 'Drama', 'World cinema']",0.48,5,7.869,4179,,1,0.5252041795763107
10629,/m/0cq7bj,Death in Venice,1971.0,27,"['LGBT', 'Gay Themed', 'Drama', 'Film adaptation']",0.4938271604938271,9,7.3,438,,1,0.43993493310993165
3528,/m/0dxpzv,Casper's Haunted Christmas,2000.0,22,"[""Children's/Family"", 'Computer Animation', 'Holiday Film', 'Animation', 'Christmas movie', ""Children's Fantasy""]",0.4591836734693877,14,5.349,169,,1,0.5152278877631292
1934,/m/0cl3sx,Blow Dry,2001.0,22,"['Comedy', 'Indie']",0.4296875,16,5.9,117,-0.7753079461202932,1,0.5177234103773063
7070,/m/02pzx0n,The Weight of Water,2001.0,22,"['Crime Fiction', 'Thriller', 'Indie', 'Psychological thriller', 'Mystery', 'Period piece', 'Marriage Drama', 'Drama', 'Suspense', 'Film adaptation', 'Crime Thriller']",0.4958677685950414,11,5.582,152,-0.7730948932898936,1,0.5177234103773063
11012,/m/01l0jh,Holiday Inn,1942.0,22,"['Romantic comedy', 'Christmas movie', 'Black-and-white', 'Musical comedy', 'Musical', 'Comedy', 'Romance Film']",0.4444444444444444,9,7.006,176,,1,0.3731653023999982
285,/m/0642xf3,Percy Jackson & the Olympians: The Lightning Thief,2010.0,28,"['Adventure', 'Fantasy', ""Children's Fantasy"", 'Film adaptation', 'Family Film', 'Action', 'Teen', 'Mythological Fantasy']",0.489795918367347,21,6.215,7044,,1,0.5363823938290432
11387,/m/08yf3q,The Mod Squad,1999.0,22,"['Thriller', 'Crime Fiction', 'Action/Adventure', 'Mystery', 'Crime Thriller', 'Action Thrillers', 'Action']",0.21875,8,4.326,115,-0.127432567294543,0,0.5127316055438628
13365,/m/047nqkf,Bigger Than Life,1956.0,22,"['Family Drama', 'Drama']",0.46875,8,7.2,146,,1,0.4064260257969608
21807,/m/07s71w0,Apollo 11,1996.0,2,['Drama'],0.0,4,7.849,582,,0,0.5177927621617354
864,/m/011yr9,Elizabeth,1998.0,31,"['Biography', 'Costume drama', 'Epic', 'Period piece', 'Drama', 'Biographical film', 'Political drama']",0.4444444444444444,18,7.175,1291,2.6855729459009337,1,0.5045837008589988
12519,/m/01470k,Three Colors: Blue,1993.0,35,"['Mystery', 'Drama', 'World cinema', 'Music']",0.46875,8,7.673,1528,-0.7215676346117368,1,0.4895820071125342
15432,/m/048l67,Facing Windows,2003.0,23,"['LGBT', 'Romantic drama', 'Romance Film', 'Drama', 'World cinema']",0.4081632653061224,7,7.0,265,,0,0.5220849085112632
5722,/m/02sk0x,Showdown in Little Tokyo,1991.0,29,"['Crime Fiction', 'Thriller', 'Detective fiction', 'Japanese Movies', 'Detective', 'Action/Adventure', 'Martial Arts Film', 'Drama', 'Comedy', 'Action Thrillers', 'Action']",0.4444444444444444,12,6.393,424,-0.6814965780453317,1,0.48835431729013806
23037,/m/05f27d,Way Out West,1937.0,22,"['Comedy', 'Black-and-white']",0.375,4,7.1,178,,0,0.36155388660539184
12206,/m/0crs0rt,Mega Shark vs. Crocosaurus,2010.0,2,"['Thriller', 'Science Fiction', 'Horror', 'Adventure', 'Disaster', 'B-movie']",0.375,8,3.9,154,,0,0.5525805207759596
7043,/m/05p4097,Five Minutes of Heaven,2009.0,22,"['Thriller', 'Crime Fiction', 'Drama', 'Political drama', 'Indie']",0.396694214876033,11,6.2,185,,0,0.5376453856632596
8637,/m/02x3nnq,The Burrowers,2008.0,22,"['Action/Adventure', 'Western', 'Horror', 'Science Fiction']",0.42,10,5.874,194,,0,0.5351603929092356
13009,/m/0fnqlm,Children of the Corn 666: Isaac's Return,1999.0,22,"['Cult', 'Horror', 'Supernatural']",0.375,8,4.7,173,,0,0.5127316055438628
722,/m/0gcrg,Seven Brides for Seven Brothers,1954.0,22,"['Musical', 'Americana', 'Drama', 'Comedy', 'Adventure']",0.4875346260387811,19,7.206,497,-0.5666498896815104,1,0.4016137035536573
11183,/m/01gvsn,The Way We Were,1973.0,22,"['Period piece', 'Musical', 'Drama', 'Film adaptation', 'Romantic drama', 'Romance Film']",0.4444444444444444,9,6.9,415,1.3269108532789275,1,0.44796914929079545
