,movie_freebase_id,movie_name,movie_release_year,movie_languages_count,movie_genres,ethnicity_diversity,actors_count,rating_average,rating_count,movie_box_office_revenue,treatment,Propensity_score
610,/m/01bn3l,The Flintstones,1994.0,22,"['Crime Fiction', ""Children's/Family"", 'Fantasy', 'Comedy', 'Family Film', 'Family-Oriented Adventure']",0.8641975308641976,9,5.311,2280,2.3168419820648425,1,0.4081911632681576
9145,/m/0cq82n,A Man for All Seasons,1988.0,22,"['Costume drama', 'Drama']",0.5,2,7.342,380,,0,0.3542149625318179
4897,/m/04zzgs1,Drag Me to Hell,2009.0,34,"['Thriller', 'Horror', 'Horror Comedy', 'Supernatural']",0.75,4,6.408,3425,,1,0.6287865310111093
1697,/m/0gy22ry,360,2011.0,42,"['Romance Film', 'Drama']",0.7777777777777778,6,5.7,258,,1,0.6943431882129051
3315,/m/0hr6gzw,Kung Fu Panda: Secrets of the Masters,2011.0,22,"['Short Film', 'Animation']",0.72,5,6.4,220,,1,0.5689847377674794
4878,/m/03lzq_,Stitch! The Movie,2003.0,22,"[""Children's/Family"", 'Animation', ""Children's"", 'Comedy', 'Family Film', ""Children's Fantasy""]",0.625,4,6.5,651,,0,0.4930564233832018
7847,/m/047g4zk,Lesbian Vampire Killers,2009.0,22,"['Parody', 'Action', 'Horror', 'Comedy', 'Horror Comedy']",0.6666666666666667,3,5.259,355,,0,0.5501652908479372
4502,/m/0bp35b,Imagine Me & You,2005.0,22,"['Romantic comedy', 'LGBT', 'Comedy-drama', 'Gay', 'Gay Interest', 'Drama', 'Comedy', 'Gay Themed', 'Romance Film']",0.625,4,7.585,944,,0,0.5121464743623777
9826,/m/017s99,Get Carter,1971.0,22,"['Thriller', 'Crime Fiction', 'Gangster Film', 'Crime Thriller']",0.5,2,5.165,512,,0,0.2227484558807899
1673,/m/03ljzq,Mona Lisa Smile,2003.0,29,"['Drama', 'Romance Film', 'Feminist Film', 'Coming of age', 'Period piece']",0.8163265306122449,7,6.93,1583,0.6607622885442462,1,0.5404617188793828
3146,/m/073ds8,The Perfect Man,2005.0,22,"['Romantic comedy', 'Romance Film', 'Family Film', 'Comedy']",0.7999999999999999,5,6.1,747,-0.3443915171229381,1,0.5121464743623777
3535,/m/0464m03,Ninja Assassin,2009.0,22,"['Thriller', 'Crime Fiction', 'Ninja movie', 'Action/Adventure', 'Martial Arts Film', 'Drama', 'Action Thrillers', 'Action']",0.72,5,6.584,1403,0.0014771401885198,1,0.5501652908479372
2008,/m/05dptj,An Ideal Husband,1999.0,22,"['Romantic comedy', 'Costume drama', 'Period piece', 'Drama', 'Comedy', 'Film adaptation', 'Romantic drama', 'Romance Film']",0.6666666666666667,6,6.4,169,,0,0.4549923580250281
2206,/m/04x7w0,Freejack,1992.0,22,"['Thriller', 'Science Fiction', 'Chase Movie', 'Drama', 'Film adaptation', 'Time travel', 'Action', 'Dystopia']",0.8333333333333334,6,5.365,286,-0.3662319624973885,1,0.38987929574535196
6584,/m/056g0th,Gentlemen Broncos,2010.0,22,"['Parody', 'Absurdism', 'Comedy', 'Indie']",0.6666666666666667,3,5.7,149,-0.5068820246404194,0,0.5595964257498155
7897,/m/03m5vcv,The Little Mermaid: Ariel's Beginning,2008.0,22,"['Fantasy Adventure', ""Children's/Family"", 'Animation', ""Children's"", 'Fantasy', 'Music', 'Family Film']",0.6666666666666667,3,6.707,946,,0,0.5406979584305217
2963,/m/05mvpy,Police Academy 5: Assignment Miami Beach,1988.0,22,"['Action/Adventure', 'Action', 'Comedy', 'Slapstick']",0.72,5,5.2,824,-0.3465421288848045,1,0.3542149625318179
5984,/m/06t2t2,Shopgirl,2005.0,29,"['Romantic comedy', 'Comedy-drama', 'Coming of age', 'Comedy', 'Film adaptation', 'Drama', 'Romantic drama', 'Romance Film']",0.6666666666666667,3,5.8,236,-0.4159815448723016,0,0.5593619850130132
8040,/m/07n9lm,Crocodile Dundee in Los Angeles,2001.0,22,"['Adventure', 'World cinema', 'Action Comedy', 'Action/Adventure', 'Drama', 'Comedy', 'Action']",0.6666666666666667,3,5.198,562,-0.1817694117184507,0,0.4739865984400516
