,title,freebase_movie_ID,vote_average,vote_counts,budget
0,Ghosts of Mars,/m/03vyhn,5.127,990,28000000
1,Brun bitter,/m/0crgdbh,0.0,0,0
2,White Of The Eye,/m/0285_cd,5.7,64,0
3,A Woman in Flames,/m/01mrr1,5.3,13,0
4,The Gangsters,/m/03cfc81,6.0,1,0
5,The Sorcerer's Apprentice,/m/04jcqvw,4.6,11,0
6,Alexander's Ragtime Band,/m/02qc0j7,6.6,23,2000000
7,Sarah and Son,/m/017n1p,5.0,7,0
8,Lady Snowblood 2: Love Song of Vengeance,/m/07kjkz6,6.4,104,0
9,Little city,/m/0gffwj,3.8,6,0
10,Henry V,/m/016ywb,7.198,338,9000000
11,Mary Poppins,/m/0kcn7,7.573,4392,4650000
12,Die Fahne von Kriwoj Rog,/m/0gyryjt,0.0,0,0
13,Keep the Change,/m/0gj30jx,6.3,19,0
14,New Rose Hotel,/m/02wjqm,5.203,106,0
15,White on Rice,/m/05p45cv,5.8,7,0
16,Middle Age Spread,/m/05f5_5y,5.0,1,100000
17,Special Effects,/m/04j284s,0.0,0,0
18,They Knew What They Wanted,/m/04wy0v,5.3,5,0
19,Karayilekku Oru Kadal Dooram,/m/0fq260_,0.0,0,0
20,Siam Sunset,/m/0b6c_nw,6.8,11,0
21,Archie: To Riverdale and Back Again,/m/02pjlrp,7.5,23,0
22,Mysterious Island,/m/0f400r,6.5,163,2000000
23,Woman Hungry,/m/02q74ng,0.0,0,0
24,Troops,/m/07h9zj,7.4,28,0
25,Daddy and Them,/m/0b6kc_5,5.7,33,4000000
26,The Gods Must Be Crazy,/m/01mrrd,7.227,1042,5000000
27,Joan the Woman,/m/03grb4v,5.6,24,0
28,Rudo y Cursi,/m/02vlsqt,7.1,192,0
29,Kinjite: Forbidden Subjects,/m/0cws46,5.4,69,5000000
30,My Name is Fame,/m/03c0d85,6.0,7,0
31,Innocence,/m/02rm6l8,7.0,3,0
32,Hamsun,/m/05f6kpj,7.1,23,0
33,The Great New Wonderful,/m/0f0d1p,4.9,15,0
34,Loverboy,/m/02vn81r,6.125,148,0
35,Juarez,/m/04x8zs,6.5,19,0
36,Mesmerized,/m/05bzp6g,4.9,12,5000000
37,Chasing Ghosts: Beyond the Arcade,/m/02w1jsk,6.9,33,0
38,Bruce Lee: The Lost Interview,/m/07s63_7,8.5,23,0
39,It Came Upon the Midnight Clear,/m/0g4zl4c,6.2,6,0
40,Vipers,/m/04zyc0t,1.0,1,0
41,Vent'anni,/m/05p89qm,0.0,0,0
42,Shivers,/m/04mhwd,6.361,591,179000
43,Adventurer's Fate,/m/05b6cft,3.8,2,0
44,Les Indiens sont encore loin,/m/0by1_ff,6.5,3,0
45,The Tango Player,/m/0gj93w4,0.0,0,0
46,Sombra Verde,/m/0crvlhb,6.8,15,0
47,The Little Hut,/m/0h10pz,7.0,8,0
48,Drums in the Deep South,/m/04j1nd9,5.8,6,0
49,Vixen!,/m/0dyy_v,5.3,70,73000
50,Closing the Ring,/m/0fc8w8,6.2,88,23000000
51,The Boston Strangler,/m/02x4zpv,6.81,197,0
52,Deadly Voyage,/m/04j0jtp,5.6,9,0
53,33 Scenes from Life,/m/04mnqv6,5.1,16,0
54,The High Cost of Living,/m/0djbd6g,6.1,27,0
55,The World of Geisha,/m/07k8x7p,5.1,5,0
56,The House That Drips Blood on Alex,/m/0cm89jx,3.9,18,0
57,One Six Right,/m/027d9tv,8.7,6,0
58,Choke Canyon,/m/06qv1c,4.9,7,0
59,Dig That Uranium,/m/0cnxjzx,3.0,2,0
60,ChromeSkull: Laid to Rest 2,/m/0h54gth,4.817,101,0
61,Desperate,/m/09yd9c,6.5,31,0
62,The Iron Maiden,/m/07vz8r,6.5,6,0
63,Mighty Times: The Children's March,/m/047m_z2,7.5,6,0
64,Lee Dae-ro Can't Die,/m/0b4f1s,5.3,3,0
65,Alien Express,/m/0286kkz,4.5,8,0
66,...And Justice for All,/m/015wmg,7.097,455,6000000
67,The Naked Kitchen,/m/07sb8_t,5.7,14,0
68,Star!,/m/026ccts,6.4,126,14320000
69,1 a Minute,/m/09gnwkp,1.0,1,0
70,Mighty Mouse in the Great Space Chase,/m/05fb20v,6.2,4,0
71,The Great Santini,/m/015wmt,6.746,57,0
72,Beachhead,/m/064kyn2,5.4,12,450000
73,Carmen,/m/0bd62lc,6.5,34,0
74,A Zed & Two Noughts,/m/05j038,7.1,132,0
75,Made Men,/m/0kvbmd,5.7,14,0
76,Things to Do in Denver When You're Dead,/m/09kzfd,6.513,344,8000000
77,Convoy,/m/05v5ws,6.3,323,12000000
78,The Bridge,/m/0kv80y,6.7,3,0
79,The Castle,/m/04yc5nd,7.1,177,786675
80,14 Going on 30,/m/04jfr7g,5.2,15,0
81,Swati,/m/0bhbzbr,0.0,0,0
82,The Net,/m/08_f1r,5.999,1229,22000000
83,Grand Canary,/m/03cbvzw,3.7,5,0
84,C.H.U.D.,/m/04rjwf,5.7,258,1250000
85,Sons of Cuba,/m/09v6_q1,7.6,5,450
86,Zum Teufel mit der Penne,/m/0h95z9x,5.7,14,0
87,Mud and Soldiers,/m/0h9562r,0.0,0,0
88,The Insurgents,/m/0g1yx5,5.2,3,200000
89,The Sands of Kurobe,/m/047q7xf,6.0,4,0
90,The Girl on the Pier,/m/04jkr54,6.0,1,0
91,La Portatrice di pane,/m/06zrc_8,0.0,0,0
92,Valiant Is the Word for Carrie,/m/018qbn,5.8,3,0
93,The Astronaut Farmer,/m/0g08ws,6.2,310,13000000
94,Straw Dogs,/m/01bwgr,7.147,860,2200000
95,"Agent 3S3, Massacre in the Sun",/m/0h_92lt,4.0,1,0
96,The Battle of Algiers,/m/04dld6,7.924,670,800000
97,The Lone Wolf Meets a Lady,/m/09vnx57,6.3,9,0
98,Cipher in the snow,/m/02x6tkq,7.0,6,0
99,The World According to John Coltrane,/m/0bf0hf,4.0,1,0
100,Kasak,/m/02w41jc,2.0,3,0
101,The Bone Snatcher,/m/0b6dn1z,4.1,48,0
102,Rollo and the Spirit of the Woods,/m/0h_9kln,6.5,13,2200000
103,The Seamstress,/m/0g9wcrn,4.1,29,2500000
104,Enemy Territory,/m/03wggk7,6.1,25,0
105,Blockade,/m/09vv2_n,5.6,9,0
106,Vanishing on 7th Street,/m/0c037x9,5.3,535,10000000
107,I Clowns,/m/08xfy_,7.0,80,0
108,House by the River,/m/0917bx,6.7,70,0
109,Thunderbolt,/m/0120g4,4.5,2,0
110,Open All Night,/m/076w7md,5.7,3,0
111,The Snow Queen,/m/02rp4qv,3.3,9,0
112,Tesha,/m/0gjd7dp,0.0,0,0
113,Annie Laurie,/m/0g19zh,7.0,1,0
114,Susan and God,/m/0270xln,6.7,12,0
115,What Have I Done To Deserve This?,/m/0b24ld,7.294,205,0
116,The Nut,/m/0dlm9db,5.9,11,0
117,Yolanda and the Thief,/m/094x3b,5.7,10,2443322
118,Heidi Fleiss: Hollywood Madam,/m/05dpjl,6.6,14,0
119,True Heart,/m/03c0sm7,4.8,22,0
120,A Broken Life,/m/02w8t1b,3.3,3,0
121,The Dark Half,/m/0d_ng1,5.992,356,15000000
122,Rettai Jadai Vayasu,/m/0gp9cs,5.0,1,0
123,Ab Insaf Hoga,/m/0g59khw,3.0,1,20
124,Sinners in the Sun,/m/0b4bp1l,5.0,5,0
125,Midnight Express,/m/0p_sc,7.5,1573,2300000
126,RoboCop 3,/m/067p6m,4.76,1152,22000000
127,Improper Conduct,/m/06sg2t,5.6,5,0
128,Rogues' Regiment,/m/0b447t7,6.6,4,0
129,Gertie the Dinosaur,/m/0jsc_,6.6,134,0
130,Martha,/m/0cz8rml,7.1,53,0
131,Hell Boats,/m/0bb_l75,8.0,22,0
132,The Forbidden Kingdom,/m/0gj6pd,6.612,1556,55000000
133,Heart of the Storm,/m/03c_p7d,7.0,10,0
134,There It Is,/m/05zp19b,6.5,17,0
135,Behind the Mask,/m/0g2q1q,6.7,3,75000
136,Eagle's Wing,/m/05mvk68,5.2,17,0
137,Asylum Seekers,/m/04mzmq8,3.7,7,1500000
138,Toll Booth,/m/0dlm0sz,6.4,36,0
139,Jungle Bride,/m/0fp_576,5.1,8,0
140,Boy called Twist,/m/0882lf,5.5,3,1000000
141,Bleeder,/m/05f9k7r,6.8,154,0
142,Lord of the Flies,/m/0kvfd1,6.7,473,250000
143,The Gamblers,/m/0cnxf8t,0.0,0,0
144,Without Warning,/m/043qtrq,6.9,25,0
145,Rhodes of Africa,/m/064n1xv,6.0,1,0
146,On the Beach,/m/02qmrx5,6.029,68,0
147,Trial and Error,/m/0c3lr0,5.3,70,0
148,Ajooba,/m/0g6kwp,5.8,11,0
149,Taxi,/m/025cm9,6.659,2258,8700000
150,Johnny Smith and Poker-Huntas,/m/03h0ghv,6.2,5,0
151,Peter schießt den Vogel ab,/m/0cgs9r4,3.7,3,0
152,When Will I Be Loved,/m/0bghc4,4.2,31,0
153,From the Drain,/m/05k3q8,4.625,24,0
154,Necessary Roughness,/m/09v460,5.5,108,0
155,Song of the Islands,/m/0b777gn,6.3,3,0
156,The Aviary,/m/0d_2j2,6.0,1,500000
157,Midnight Phantom,/m/07kbmgf,4.8,8,0
158,Sweeney Todd: The Demon Barber of Fleet Street,/m/0ds11z,7.194,5539,50000000
159,Chaplin,/m/016z5x,7.436,975,31000000
160,Nothing to Lose,/m/07rf_1,6.5,548,25000000
161,Barah Aana,/m/05m_4m6,5.3,3,0
162,Beyond the Time Barrier,/m/0bh9t6p,6.0,32,125000
163,Friday the 13th: The Final Chapter,/m/07m7j8,6.106,1199,2600000
164,The Stoker,/m/0b6kpmq,0.0,0,0
165,Cipher Bureau,/m/0b6yhq2,5.0,1,0
166,Beastmaster 2: Through the Portal of Time,/m/07s7_c0,4.728,57,6000000
167,The Gangster,/m/09rfs9q,4.6,12,0
168,Amy,/m/03gxj7d,7.1,13,0
169,L'iguana dalla lingua di fuoco,/m/0k0dxfx,5.0,28,0
170,In the Presence of a Clown,/m/05nkn9,7.3,24,0
171,Over the Rainbow,/m/02w8rhv,6.2,10,0
172,The Enemy,/m/03h08vb,5.0,1,0
173,Cruise for the Unknown One,/m/0dlm629,7.0,2,0
174,Spiderhole,/m/0h1fzpv,4.0,17,0
175,Hip hip hurra!,/m/0b_lj9b,5.0,5,0
176,Herod's Law,/m/0ft_c9,7.9,159,0
177,Daughters,/m/07kg7s3,0.0,0,0
178,Susanne Brink's Arirang,/m/04ybcks,6.2,2,0
179,Resident Evil,/m/0401sg,6.611,5885,33000000
180,Thief of Damascus,/m/05c4c72,6.0,2,0
181,Black Rider,/m/0bhgphj,6.9,42,0
182,Chick Magnet,/m/0gxncj8,4.2,16,0
183,My Little Pony: Twinkle Wish Adventure,/m/0gysbv4,5.5,4,0
184,Dragon Fight,/m/02w9pbl,5.8,25,0
185,Green Dolphin Street,/m/0463ncn,6.1,14,0
186,Nell,/m/01dh6f,6.536,462,31000000
187,Monkey Business,/m/061nbd,6.708,228,0
188,The Teacher,/m/04j1p15,4.3,25,0
189,The Man with the Perfect Swing,/m/02x5kcd,0.0,0,0
190,Someone to Watch Over Me,/m/0kv17w,5.948,163,17000000
191,"Mabel, Fatty and the Law",/m/03cg8fj,4.8,6,0
192,Monsters Crash the Pajama Party,/m/09gkn8b,4.0,3,0
193,I Could Never Be Your Woman,/m/0db2z1,5.9,384,24000000
194,9 Dead Gay Guys,/m/04ldc1b,6.1,37,0
195,Stanley Kubrick's Boxes,/m/051yy2f,7.1,31,0
196,Mayerling,/m/0kv7sv,6.7,16,0
197,My Wild Irish Rose,/m/0bj5037,6.0,6,0
198,Red Beard,/m/01j5x_,8.1,311,0
199,You Never Can Tell,/m/08p40j7,0.0,0,0
200,Sharpe's Siege,/m/02pk0wv,7.2,23,0
201,Cyrano Agency,/m/0gkss5y,7.0,55,0
202,Inherit the Wind,/m/05zkfkf,6.4,26,0
203,Knife in the Water,/m/04m0gv,7.3,398,0
204,Gritos en la noche,/m/02pvqww,0.0,0,0
205,Amador,/m/0gf8mz8,6.1,20,0
206,Perrier's Bounty,/m/04zy_f7,5.6,79,0
207,Fools Rush In,/m/0crf0rp,6.0,2,0
208,The Magic Sword,/m/0gvvs3k,6.9,4,0
