,movie_freebase_id,movie_name,movie_release_year,movie_languages_count,movie_genres,gender_diversity,actors_count,rating_average,rating_count,movie_box_office_revenue,treatment,Propensity_score
14768,/m/0849_s,Love Jones,1997.0,22,"['Romantic comedy', 'Indie', 'Comedy-drama', 'Drama', 'Comedy', 'Romantic drama', 'Romance Film']",0.4081632653061224,7,7.4,55,-0.2385744081915905,0,0.5034225322391779
9258,/m/0620fw,The Enforcer,1951.0,22,"['Crime Fiction', 'Drama', 'Film noir']",0.0,9,7.1,81,-0.6931124602294954,0,0.4658145519169024
617,/m/07l450,The Last King of Scotland,2006.0,38,"['Thriller', 'Docudrama', 'Period piece', 'Drama', 'War film', 'Biographical film', 'Political drama', 'Historical drama']",0.4653739612188365,19,7.423,1939,1.2612488309364325,1,0.48262606125159563
637,/m/0bk6f0,The Wind in the Willows,1996.0,22,"['Adventure', 'Animation', ""Children's"", 'Fantasy', 'Comedy', 'Family Film', 'Slapstick']",0.188365650969529,19,5.6,47,-0.7743501607651528,0,0.5026038349556743
6910,/m/026q9tc,Camille,1936.0,22,"['Romantic drama', 'Romance Film', 'Drama', 'Black-and-white', 'Film adaptation']",0.4958677685950414,11,7.0,115,-0.6576186320956943,1,0.45361399391704543
5135,/m/06dfq2,Disturbing Behavior,1998.0,22,"['Thriller', 'Albino bias', 'Science Fiction', 'Horror', 'Psychological thriller', 'Mystery', 'Teen']",0.4444444444444444,12,5.747,328,-0.0390910426293034,1,0.5042412111701976
15,/m/0bm2nq,Stranger Than Fiction,2006.0,22,"['Drama', 'Black comedy', 'Fantasy', 'Comedy-drama', 'Comedy']",0.42,40,7.271,2112,1.4842873678141282,0,0.5107894553279502
10091,/m/02pn4h0,Tap Roots,1948.0,22,"['Romance Film', 'Action', 'Drama']",0.4444444444444444,9,6.2,6,-0.6385793548661737,1,0.46337069239117923
7070,/m/02pzx0n,The Weight of Water,2001.0,22,"['Crime Fiction', 'Thriller', 'Indie', 'Psychological thriller', 'Mystery', 'Period piece', 'Marriage Drama', 'Drama', 'Suspense', 'Film adaptation', 'Crime Thriller']",0.4958677685950414,11,5.582,152,-0.7730948932898936,1,0.5066970939569605
18633,/m/0kvb1d,High Road to China,1983.0,22,"['Romance Film', 'Drama', 'Adventure', 'War film']",0.3199999999999998,5,5.8,82,0.4216941760852914,0,0.49196109767293844
15467,/m/02vpvxm,Filth and Wisdom,2008.0,32,"['Ensemble Film', 'Indie', 'Comedy-drama', 'Drama', 'Comedy', 'Romance Film']",0.4081632653061224,7,5.8,45,-0.7624717844387218,0,0.4948212283291338
12169,/m/042mfb,All the Little Animals,1999.0,22,"['Family Drama', 'Drama', 'Film adaptation']",0.375,8,6.1,30,-0.7763013096119475,0,0.5050598673593412
8666,/m/09n2mk,His Kind of Woman,1951.0,22,"['Thriller', 'Crime Fiction', 'Black-and-white', 'Drama', 'Crime Thriller', 'Romantic drama', 'Romance Film', 'Film noir']",0.3199999999999998,10,6.7,52,-0.6931124602294954,0,0.4658145519169024
5967,/m/0gv4n1,Let's Make Love,1960.0,22,"['Romantic comedy', 'Romance Film', 'Comedy', 'Musical', 'Musical comedy']",0.1652892561983472,11,6.5,149,-0.5877269847728412,0,0.4731555171060313
5782,/m/0g2v3p,That Old Feeling,1997.0,22,"['Romantic comedy', 'Romance Film', 'Sex comedy', 'Comedy']",0.5,12,6.3,55,-0.0787498733699122,1,0.5034225322391779
9989,/m/02181p,Scanners,1981.0,22,"['Science Fiction', 'Horror', 'Indie', 'Psychological thriller', 'Cult', 'Action']",0.1975308641975308,9,6.727,1082,-0.1777405581758566,0,0.49032415858991135
2562,/m/0dgrwqr,Red State,2011.0,22,"['Thriller', 'Action', 'Horror']",0.48,15,6.1,874,-0.7308538654754557,1,0.5148803709719622
2604,/m/0gg5qcw,The Ides of March,2011.0,22,"['Drama', 'Political drama']",0.48,15,6.675,2290,2.426005105361789,1,0.5148803709719622
20425,/m/03gq6g2,Young and Dangerous: The Prequel,1998.0,28,"['Thriller', 'World cinema', 'Action/Adventure', 'Martial Arts Film', 'Action', 'Chinese Movies']",0.3199999999999998,5,5.8,16,-0.6781983077428697,0,0.4936771249056663
722,/m/0gcrg,Seven Brides for Seven Brothers,1954.0,22,"['Musical', 'Americana', 'Drama', 'Comedy', 'Adventure']",0.4875346260387811,19,7.206,497,-0.5666498896815104,1,0.46826005358334283
2195,/m/0765ws,Head Office,1985.0,22,"['Parody', 'Comedy']",0.1244444444444443,15,5.2,25,-0.6343576548735703,0,0.4935982091450592
5770,/m/05q87h,The End,1978.0,22,"['Black comedy', 'Comedy']",0.4444444444444444,12,5.4,51,1.1160252851225123,1,0.487869149925524
5512,/m/0b2qtl,War and Peace,1968.0,32,"['Film adaptation', 'World cinema', 'Costume drama', 'Roadshow theatrical release', 'Epic', 'Period piece', 'Drama', 'War film', 'Romantic drama', 'Romance Film']",0.375,12,6.7,216,-0.5139571519531834,0,0.4621445359053394
15783,/m/0280_wh,All the Brothers Were Valiant,1953.0,22,"['Romance Film', 'Drama', 'Adventure']",0.4444444444444444,6,5.9,12,-0.5788746048344823,1,0.4674447110853069
7241,/m/065_c06,Last Exit to Brooklyn,1989.0,22,"['LGBT', 'Period piece', 'Drama', 'Film adaptation']",0.396694214876033,11,6.426,94,-0.7044938808078631,0,0.4968728088695325
735,/m/032xyp,Cradle Will Rock,1999.0,29,"['Period piece', 'Drama', 'Political drama']",0.4653739612188365,19,6.5,76,-0.6515091410041408,1,0.49273527212737894
6520,/m/068_3t,Red Eye,2005.0,28,"['Thriller', 'Action', 'Suspense', 'Psychological thriller']",0.4958677685950414,11,6.381,1823,3.251582821836636,1,0.4994078785110292
2753,/m/06nqyx,Moby Dick,1956.0,22,"['Drama', 'Adventure']",0.0,15,6.968,360,-0.5582190516449781,0,0.46989124281691547
5086,/m/0c0j58,Bait,2000.0,22,"['Thriller', 'Crime Fiction', 'Adventure', 'Action/Adventure', 'Drama', 'Comedy', 'Crime Thriller', 'Action']",0.2777777777777777,12,5.68,175,-0.1252125168685731,0,0.505878496417703
28240,/m/08jz48,My Boyfriend is Type B,2005.0,22,['Comedy'],0.5,2,6.4,9,-0.4596455247050813,1,0.509971081182114
14680,/m/09bcv0,Surviving The Game,1994.0,22,"['Thriller', 'Crime Fiction', 'Adventure', 'Chase Movie', 'Action Thrillers', 'Action/Adventure', 'Drama', 'Action']",0.0,7,6.0,165,-0.4532545700856782,0,0.5009664028906611
13238,/m/09rlnwl,Run for Cover,1955.0,22,"['Action/Adventure', 'Western', 'Action']",0.21875,8,6.7,26,-0.7141895553208263,0,0.46907556560110086
1247,/m/01jjb4,The Rescuers Down Under,1990.0,22,"['Crime Fiction', 'Fantasy Adventure', 'Adventure', ""Children's/Family"", 'Animation', 'Mystery', 'Fantasy', ""Children's Fantasy"", 'Drama', 'Family Film']",0.2906574394463668,17,6.623,1173,1.2220139870406803,0,0.49769151169622355
4000,/m/08g3_n,Lovely & Amazing,2001.0,22,"['Romantic comedy', 'Indie', 'Family Drama', 'Comedy-drama', 'Drama', 'Comedy', 'Romance Film', 'Domestic Comedy']",0.4591836734693877,14,6.1,73,-0.5794739952646896,1,0.5066970939569605
21883,/m/0gkstt3,Finding Mr. Destiny,2010.0,22,"['Romance Film', 'Comedy']",0.375,4,6.7,47,-0.463621971619202,0,0.5140623297862941
7164,/m/07l5v6,Just Cause,1995.0,22,"['Thriller', 'Crime Fiction', 'Detective fiction', 'Libraries and librarians', 'Detective', 'Psychological thriller', 'Mystery', 'Drama', 'Suspense', 'Film adaptation', 'Crime Thriller', 'Action', 'Courtroom Drama']",0.4958677685950414,11,6.198,493,0.7760968884370318,1,0.5017851237094733
6729,/m/02758w3,I Served the King of England,2007.0,43,"['World cinema', 'Period piece', 'Drama', 'Comedy', 'War film', 'Romance Film']",0.2975206611570247,11,6.9,88,-0.4688854702679796,0,0.474655759340862
4167,/m/0dm5_b,Black Christmas,2006.0,22,"['Thriller', 'Horror', 'Slasher', 'Teen']",0.3550295857988165,13,6.914,699,0.129351663450079,0,0.5107894553279502
17567,/m/0g1x18,Brooklyn Lobster,2005.0,22,"['Drama', 'Family Drama', 'Comedy-drama', 'Comedy', 'Indie']",0.5,6,6.0,5,-0.7715923071808326,1,0.509971081182114
9021,/m/019l8z,The Star,1952.0,22,"['Drama', 'Black-and-white']",0.5,10,6.316,504,-0.7352666504121571,1,0.4666295424250447
14957,/m/026w73t,Poster Boy,2004.0,22,"['LGBT', 'Family Drama', 'Comedy-drama', 'Gay', 'Gay Interest', 'Drama', 'Gay Themed', 'Political drama']",0.489795918367347,7,5.4,25,-0.7748046672437023,1,0.5091526535875769
14074,/m/03ck1_k,The Amati Girls,2001.0,22,"['Family Drama', 'Drama']",0.4081632653061224,7,2.5,2,-0.7753495523060034,0,0.5066970939569605
9373,/m/04n5q0s,Noah's Arc: Jumping the Broom,2008.0,22,"['LGBT', 'Road movie', 'Comedy-drama', 'Gay', 'Gay Interest', 'Drama', 'Gay Themed', 'Romance Film']",0.4444444444444444,9,6.2,13,-0.7549578000386623,1,0.51242602574333
29382,/m/0h1dzbq,The Client,2011.0,22,"['Crime Fiction', 'Mystery', 'Thriller', 'Drama']",0.0,2,6.7,1034,-0.1122159163391666,0,0.5148803709719622
7629,/m/0907zk,Tristan & Isolde,2006.0,22,"['Tragedy', 'Adventure', 'Period piece', 'Drama', 'Romantic drama', 'Romance Film', 'Action']",0.1799999999999999,10,6.679,755,0.4049183259434387,0,0.5107894553279502
16139,/m/0779l0,In Country,1989.0,22,"['Family Drama', 'Period piece', 'Drama', 'War film', 'Coming of age', 'Romance Film']",0.5,6,5.465,48,-0.6285322408696578,1,0.4968728088695325
6032,/m/0gcwj9,Big Bully,1996.0,22,"['Romantic comedy', 'Family Film', 'Comedy-drama', 'Comedy']",0.396694214876033,11,4.6,69,-0.6913196425210267,0,0.5026038349556743
11353,/m/0b4rz4,Best Laid Plans,1999.0,22,"['Crime Fiction', 'Thriller', 'Psychological thriller', 'Suspense', 'Crime Thriller']",0.21875,8,5.7,116,-0.7762482796406978,0,0.5050598673593412
7501,/m/098lz1,Another You,1991.0,22,"['Crime Comedy', 'Screwball comedy', 'Buddy film', 'Comedy']",0.3199999999999998,10,5.301,83,-0.6566104724832857,0,0.49851022690192875
2011,/m/04l3xj,BAADASSSSS!,2004.0,22,"['Biography', 'Indie', 'Docudrama', 'Period piece', 'Drama', 'Biographical film']",0.3046875,16,6.581,43,-0.7620039150818844,0,0.5091526535875769
7706,/m/0c01cp1,The Divide,2011.0,22,"['Thriller', 'Science Fiction', 'Horror']",0.48,10,5.854,593,-0.7719054285055095,1,0.5148803709719622
28952,/m/047p0jt,The Rose Tattoo,1955.0,29,"['Romantic drama', 'Family Drama', 'Drama', 'Black-and-white', 'Melodrama']",0.5,2,7.1,68,-0.6003732418276397,1,0.45681860366088634
12429,/m/03ccf36,The Vagabond King,1956.0,22,"['Musical', 'Romance Film']",0.375,8,6.6,5,-0.7184049743390925,0,0.46989124281691547
