,movie_freebase_id,movie_name,movie_release_year,movie_languages_count,movie_genres,ethnicity_diversity,actors_count,rating_average,rating_count,movie_box_office_revenue,treatment,Propensity_score
610,/m/01bn3l,The Flintstones,1994.0,22,"['Crime Fiction', ""Children's/Family"", 'Fantasy', 'Comedy', 'Family Film', 'Family-Oriented Adventure']",0.8641975308641976,9,5.311,2280,2.3168419820648425,1,0.4223847277667063
8044,/m/0djg6j,The Out-of-Towners,1999.0,22,"['Screwball comedy', 'Comedy']",0.6666666666666667,3,5.7,201,-0.2718485953245795,0,0.4727146758538359
2001,/m/05zt81w,Siesta,1987.0,22,"['Thriller', 'Mystery', 'Drama', 'Psychological thriller']",0.8333333333333333,6,5.2,35,-0.5028611701007589,1,0.3547488095112942
6403,/m/0dlnwb9,Memoirs of an Invisible Man,1992.0,22,"['Science Fiction', 'Superhero movie', 'Action/Adventure', 'Fantasy', 'Comedy', 'Drama', 'Action']",0.6666666666666667,3,5.912,514,-0.3440935367101574,0,0.4026373502174256
991,/m/03w9gp_,Fast & Furious,2009.0,22,"['Thriller', 'Crime Fiction', 'Chase Movie', 'Action Thrillers', 'Action/Adventure', 'Drama', 'Action', 'Sports', 'Auto racing']",0.875,8,6.68,6801,2.494883248839438,1,0.5740106036683211
10311,/m/02_mt0,Ghost Dad,1990.0,22,"['Heaven-Can-Wait Fantasies', 'Family Film', 'Fantasy Comedy', 'Drama', 'Comedy']",0.0,2,5.053,188,-0.284615806262255,0,0.38320071524625177
719,/m/02r6fhw,Righteous Kill,2008.0,31,"['Thriller', 'Crime Fiction', 'Psychological thriller', 'Mystery', 'Drama', 'Crime Thriller', 'Action']",0.7901234567901234,9,5.897,1145,0.1267078094497036,1,0.6489660302120364
11843,/m/058kh7,She's Having a Baby,1988.0,22,"['Romantic comedy', 'Comedy-drama', 'Drama', 'Comedy', 'Romance Film', 'Domestic Comedy']",0.5,2,5.93,187,-0.3753046843010272,0,0.3641304154371899
1866,/m/0bf2sc2,How Do You Know,2010.0,22,"['Romantic comedy', 'Romance Film', 'Drama', 'Comedy']",0.8333333333333334,6,5.302,908,-0.1054512941402231,1,0.583943154023043
11933,/m/04j03yn,Shelter,2007.0,22,"['LGBT', 'Romance Film', 'Drama', 'Gay Themed']",0.0,2,7.7,455,-0.5066796668440767,0,0.5539730753625997
2133,/m/02c88p,Slow Burn,2007.0,22,"['Thriller', 'Crime Fiction', 'Crime Thriller', 'Psychological thriller', 'Political thriller']",0.6666666666666666,6,5.4,67,-0.4929990594137161,0,0.5539730753625997
5971,/m/07fzj1,Avenging Angelo,2002.0,22,"['Crime Fiction', 'Thriller', 'Crime Comedy', 'Action/Adventure', 'Comedy', 'Gangster Film', 'Romance Film', 'Action', 'Romantic comedy']",0.6666666666666667,3,5.4,208,-0.501041272857897,0,0.503248740154595
3606,/m/026y_nt,Jiminy Glick in Lalawood,2004.0,22,"['Parody', 'Comedy']",0.72,5,4.3,26,-0.5075612883505992,1,0.5236053869343666
3241,/m/0dzz6g,American Splendor,2003.0,22,"['Biography', 'Indie', 'Comedy-drama', 'Marriage Drama', 'Drama', 'Comedy', 'Biopic [feature]', 'Biographical film']",0.72,5,7.163,423,-0.4418281189861638,1,0.5134326339536104
6965,/m/05jzt3,Walk the Line,2005.0,28,"['Biography', 'Period piece', 'Musical', 'Drama', 'Biopic [feature]', 'Romantic drama', 'Romance Film', 'Musical Drama']",0.6666666666666667,3,7.493,2665,1.0336689455241057,0,0.5922436500130338
2492,/m/034fj2,The Last Boy Scout,1991.0,22,"['Thriller', 'Crime Fiction', 'Buddy film', 'Action/Adventure', 'Comedy', 'Crime Thriller', 'Action']",0.7222222222222222,6,6.781,1701,-0.015814760978852,1,0.39287661718894745
71,/m/0fpgp26,Ice Age: Continental Drift,2012.0,22,"['Adventure', 'Family Film', 'Comedy', 'Animation']",0.8571428571428572,14,6.4,7127,6.663148944270381,1,0.6035977182668407
6008,/m/01l25p,Bound,1996.0,22,"['Thriller', 'Crime Fiction', 'Gangster Film', 'Indie', 'LGBT', 'Erotic thriller', 'Drama', 'Crime Thriller', 'Neo-noir']",0.6666666666666667,3,7.162,828,-0.4764211321808048,0,0.4423833751534563
2915,/m/0c40n2s,All Hat,2007.0,2,"['Action/Adventure', 'Western', 'Drama', 'Film adaptation']",0.7999999999999999,5,3.4,10,-0.5077336074988209,1,0.35970981136148006
5366,/m/04x4p6,Married to the Mob,1988.0,22,"['Romantic comedy', 'Crime Fiction', 'Gangster Film', 'Satire', 'Comedy', 'Romance Film']",0.75,4,5.9,234,-0.3302008231855916,1,0.3641304154371899
3951,/m/0pk1p,Hudson Hawk,1991.0,22,"['Crime Fiction', 'Parody', 'Crime Comedy', 'Caper story', 'Action Comedy', 'Action/Adventure', 'Comedy', 'Action']",0.75,4,5.654,905,-0.3654954244366625,1,0.39287661718894745
185,/m/034d5_,Blue in the Face,1995.0,22,"['Ensemble Film', 'Comedy of manners', 'Comedy', 'Indie']",0.875,12,6.6,142,-0.4973089563593809,1,0.43235649354178685
3129,/m/06kyc4,Trixie,2000.0,22,"['Crime Fiction', 'Thriller', 'Detective fiction', 'Detective', 'Comedy-drama', 'Comedy Thriller', 'Action/Adventure', 'Mystery', 'Drama', 'Comedy', 'Crime Thriller', 'Action']",0.72,5,5.1,17,-0.5054144799958717,1,0.48288131717534183
364,/m/02ctc6,The Prince of Egypt,1998.0,30,"['Christian film', 'Adventure', ""Children's/Family"", 'Costume drama', 'Epic', 'Animation', 'Musical', 'Fantasy', 'Animated Musical', 'Drama', 'Family Film']",0.86,10,7.254,3678,1.2996949918858558,1,0.5417391622916023
11358,/m/02y1v6,The Big Kahuna,2000.0,22,"['Drama', 'Black comedy', 'Comedy-drama', 'Comedy', 'Indie']",0.0,2,6.772,329,-0.4770277921560134,0,0.48288131717534183
246,/m/06x8g2,Friday After Next,2002.0,22,"['Buddy film', 'Comedy']",0.3140495867768593,11,6.285,373,-0.2306501305373095,0,0.503248740154595
4137,/m/03wgd47,The Unborn,2009.0,30,"['Thriller', 'Mystery', 'Horror', 'Supernatural']",0.75,4,5.2,1293,0.1247800442730716,1,0.6492120911548896
2990,/m/0dy27c,Carpool,1996.0,22,"['Family Film', 'Comedy']",0.72,5,5.0,72,-0.4803618671222566,1,0.4423833751534563
10730,/m/0dxn08,The Hitman,1991.0,22,"['Crime Fiction', 'Thriller', 'Action', 'Martial Arts Film', 'Action/Adventure']",0.5,2,5.3,71,-0.469376329185697,0,0.39287661718894745
4136,/m/0462h5c,Wild Target,2009.0,22,"['Crime Fiction', 'Crime Comedy', 'Action/Adventure', 'Drama', 'Comedy', 'Adventure Comedy', 'Action']",0.0,4,6.429,647,-0.4793085548565179,0,0.5740106036683211
5364,/m/03bb5m,Father of the Bride,1991.0,22,"['Romantic comedy', 'Family Film', 'Romance Film', 'Comedy']",0.625,4,6.446,1247,0.2307109689334249,0,0.39287661718894745
5288,/m/0kv1jb,Rich And Famous,1981.0,22,['Drama'],0.625,4,5.714,28,-0.3880343738004497,0,0.30096229937982083
10798,/m/03d1z3j,Back from Eternity,1956.0,22,"['Disaster', 'Action', 'Drama', 'Black-and-white']",0.5,2,6.8,19,-0.4954568541799841,0,0.13453671915408896
3365,/m/016017,Hercules,1997.0,27,"['Adventure', 'Costume drama', 'Animation', ""Children's"", 'Fantasy', 'Comedy', 'Music', 'Family Film']",0.72,5,7.501,6908,1.5816342291319527,1,0.5018984106932055
184,/m/01_456,The Player,1992.0,22,"['Crime Fiction', 'Black comedy', 'Drama', 'Comedy']",0.8194444444444444,12,7.193,721,-0.3283872346376144,1,0.4026373502174256
1457,/m/06r2h,Star Trek: First Contact,1996.0,22,"['Thriller', 'Science Fiction', 'Action', 'Time travel', 'Adventure']",0.7346938775510204,7,7.3,1621,0.6995396697124152,1,0.4423833751534563
11038,/m/04rxsz,Short Circuit 2,1988.0,22,"['Crime Fiction', 'Science Fiction', 'Action/Adventure', 'Comedy', 'Family Film', 'Action']",0.5,2,6.123,536,-0.3290157228624898,0,0.3641304154371899
4683,/m/02pytqn,College,2008.0,22,['Comedy'],0.75,4,4.7,145,-0.4613120311752814,1,0.5640179710989781
1084,/m/0f84n0,Say It Isn't So,2001.0,22,"['Romantic comedy', 'Gross-out film', 'Comedy', 'Gross out', 'Romance Film', 'Comedy of Errors', 'Slapstick']",0.84375,8,4.734,152,-0.4059908542191346,1,0.4930621500693669
8389,/m/02r07nx,Bats,1999.0,22,"['Thriller', 'Natural horror films', 'Action', 'Horror']",0.5,2,4.443,175,-0.4238892169230818,0,0.4727146758538359
2024,/m/016z30,Restoration,1995.0,25,"['Costume drama', 'Historical fiction', 'Period piece', 'Drama', 'Romantic drama', 'Biographical film', 'Romance Film']",0.7777777777777778,6,6.1,102,-0.474737041377631,1,0.46176503261171303
