,movie_name,movie_release_year,movie_languages_count,movie_box_office_revenue,actor_age_at_movie_release,vote_average,vote_counts,budget,diverse,Propensity_score
64302,Lust for Life,0.9403434393281223,22,-0.14069388792749526,46.0,7.126,174,-0.17488030454522221,1,0.18636514680466562
52105,The Wrong Man,0.9403434393281223,33,-0.125188065438864,50.0,0.0,0,-0.17488030454522221,1,0.31586157401001336
31669,The Court-Martial of Billy Mitchell,0.8051862774337422,22,-0.0864235092172858,34.0,6.7,37,-0.17488030454522221,0,0.19361947927184456
34539,Hit the Deck,0.8051862774337422,22,-0.12131160981670616,,5.3,9,-0.17488030454522221,1,0.21540018501893957
44519,The Court Jester,0.9403434393281223,22,-0.11743515419454835,30.0,7.304,170,0.6247312827097228,1,0.19037861950858742
70376,The High and the Mighty,0.6700291155393621,22,0.12678155000139427,44.0,6.0,59,-0.17488030454522221,1,0.2080015186352088
41154,The Tender Trap,0.8051862774337422,22,-0.0864235092172858,39.0,6.2,32,-0.17488030454522221,1,0.20139707236357787
6828,Camille,-1.7627997985594797,22,-0.09254830910029514,31.0,6.973,111,-0.17488030454522221,1,0.18937785511803923
63825,The Woman I Love,-1.6276426366650996,22,-0.17236453036052463,,0.0,0,-0.029950704355263404,0,0.3164836019540983
11289,Gone with the Wind,-1.3573283128763394,22,15.303105310749256,,8.0,3728,0.6247312827097228,1,0.49968704729007213
39888,My Friend Irma Goes West,0.1294004679618417,22,-0.10968224295023271,32.0,6.3,12,-0.17488030454522221,1,0.19945804812423312
2651,My Blue Heaven,0.1294004679618417,22,-0.11452781247792998,47.0,6.042,216,-0.17488030454522221,1,0.20345513115375174
30096,The Eddy Duchin Story,0.9403434393281223,22,0.0027349700923440497,42.0,6.293,29,-0.17488030454522221,1,0.201337431288373
29490,Somebody Up There Likes Me,0.9403434393281223,22,-0.125188065438864,25.0,7.2,140,0.20893325733715135,1,0.1885203144916673
29442,"Goodbye, Mr. Chips",-1.3573283128763394,22,-0.07665484104944809,34.0,7.4,103,-0.17488030454522221,1,0.18326114823859818
42302,Young Bess,0.534871953644982,22,-0.04397632015465767,31.0,6.0,15,-0.17488030454522221,1,0.20525209355933308
70346,Rio Grande,0.1294004679618417,22,-0.11549692638346944,29.0,6.8,291,-0.17488030454522221,1,0.19164886483540625
27201,The President's Lady,0.534871953644982,22,-0.1503850269828898,29.0,7.2,11,-0.17488030454522221,0,0.18512268115770214
45555,Helen of Troy,0.9403434393281223,22,-0.07867059797297016,46.0,6.3,35,-0.17488030454522221,1,0.19994485872963338
27358,Room Service,-1.4924854747707195,28,-0.16879819118813943,27.0,6.445,64,-0.17488030454522221,1,0.19627770079125942
25879,Little Lord Fauntleroy,-3.790157226975181,29,-0.1678290772826,,6.969,49,-0.17488030454522221,0,0.18830536291434413
64041,Bus Stop,0.9403434393281223,22,-0.03796781394031305,39.0,6.2,200,-0.13090166724620023,1,0.2025314899722678
69773,The Conqueror,0.9403434393281223,22,0.14616382811218337,38.0,3.4,43,-0.17488030454522221,1,0.2535216186884282
63359,The Cobweb,0.8051862774337422,22,-0.14457034354965306,13.0,5.913,23,0.22012781955872057,1,0.2083901277361936
34985,Royal Wedding,0.2645576298562218,22,-0.10192933170591707,34.0,6.453,86,0.16495462003812938,1,0.1999944017257162
67692,How to Marry a Millionaire,0.534871953644982,35,0.08801699377981607,29.0,6.828,469,-0.17488030454522221,1,0.19433404335442442
34513,The Bells of St. Mary's,-0.5463853415100588,22,0.624260008590129,42.0,6.895,119,-0.17488030454522221,1,0.2016527131062927
29647,Deadline - U.S.A.,0.39971479175060187,22,-0.15426148260504763,21.0,6.8,62,-0.17488030454522221,1,0.19105970495540844
34478,White Christmas,0.6700291155393621,22,0.26245749677691793,51.0,7.202,448,-0.17488030454522221,1,0.191287564424631
30977,Bad Day at Black Rock,0.8051862774337422,22,-0.125188065438864,54.0,7.287,328,0.07919627730503659,0,0.18619654203592428
30649,The Mississippi Gambler,0.534871953644982,22,-0.0864235092172858,38.0,0.0,0,-0.17488030454522221,1,0.31668491893119227
40634,Scared Stiff,0.534871953644982,22,-0.0670412311064967,35.0,4.7,3,-0.17488030454522221,1,0.2264519400006135
33221,Phantom of the Rue Morgue,0.6700291155393621,22,-0.14650857136073198,28.0,6.6,10,-0.17488030454522221,1,0.19423123412985344
28609,Richard III,0.8051862774337422,22,-0.10192933170591707,46.0,6.719,155,-0.17488030454522221,1,0.19309107833378134
7811,Riding High,0.1294004679618417,22,-0.11162047076131161,,4.0,3,-0.17488030454522221,1,0.2379180325096034
